date,interest,balance
2000-03-15,5.0,100.98119635225981
2000-03-16,5.0,100.99469558090506
2000-03-17,5.0,101.0081966141355
2000-03-18,5.0,101.02169945219237
2000-03-19,5.0,101.03520409531698
2000-03-20,5.0,101.04871054375064
2000-03-21,5.0,101.06221879773464
2000-03-22,5.0,101.0757288575104
2000-03-23,5.0,101.08924072331924
2000-03-24,5.0,101.10275439540266
2000-03-25,5.0,101.11626987400211
2000-03-26,5.0,101.12978715935907
2000-03-27,5.0,101.1433062517151
2000-03-28,5.0,101.15682715131172
2000-03-29,5.0,101.17034985839055
2000-03-30,5.0,101.1838743731932
2000-03-31,5.0,101.19740069596132
2000-04-01,5.0,101.21092882693665
2000-04-02,5.0,101.22445876636085
2000-04-03,5.0,101.23799051447571
2000-04-04,5.0,101.25152407152302
2000-04-05,5.0,101.26505943774458
2000-04-06,5.0,101.27859661338223
2000-04-07,5.0,101.29213559867789
2000-04-08,5.0,101.30567639387347
2000-04-09,5.0,101.3192189992109
2000-04-10,5.0,101.33276341493216
2000-04-11,5.0,101.34630964127929
2000-04-12,5.0,101.3598576784943
2000-04-13,5.0,101.37340752681929
2000-04-14,5.0,101.38695918649636
2000-04-15,5.0,101.40051265776768
2000-04-16,5.0,101.41406794087537
2000-04-17,5.0,101.42762503606171
2000-04-18,5.0,101.44118394356887
2000-04-19,5.0,101.45474466363918
2000-04-20,5.0,101.4683071965149
2000-04-21,5.0,101.48187154243837
2000-04-22,5.0,101.495437701652
2000-04-23,5.0,101.50900567439815
2000-04-24,5.0,101.52257546091927
2000-04-25,5.0,101.53614706145784
2000-04-26,5.0,101.54972047625634
2000-04-27,5.0,101.56329570555731
2000-04-28,5.0,101.5768727496033
2000-04-29,5.0,101.59045160863691
2000-04-30,5.0,101.60403228290077
2000-05-01,5.0,101.61761477263758
2000-05-02,5.0,101.63119907808999
2000-05-03,5.0,101.64478519950073
2000-05-04,5.0,101.65837313711255
2000-05-05,5.0,101.67196289116826
2000-05-06,5.0,101.6855544619107
2000-05-07,5.0,101.69914784958269
2000-05-08,5.0,101.71274305442712
2000-05-09,5.0,101.72634007668695
2000-05-10,5.0,101.73993891660508
2000-05-11,5.0,101.75353957442455
2000-05-12,5.0,101.76714205038833
2000-05-13,5.0,101.7807463447395
2000-05-14,5.0,101.79435245772113
2000-05-15,5.0,101.80796038957634
2000-05-16,5.0,101.82157014054829
2000-05-17,5.0,101.83518171088014
2000-05-18,5.0,101.84879510081511
2000-05-19,5.0,101.86241031059645
2000-05-20,5.0,101.87602734046742
2000-05-21,5.0,101.88964619067136
2000-05-22,5.0,101.90326686145158
2000-05-23,5.0,101.91688935305152
2000-05-24,5.0,101.9305136657145
2000-05-25,5.0,101.94413979968404
2000-05-26,5.0,101.95776775520355
2000-05-27,5.0,101.97139753251659
2000-05-28,5.0,101.98502913186664
2000-05-29,5.0,101.99866255349733
2000-05-30,5.0,102.01229779765222
2000-05-31,5.0,102.02593486457499
2000-06-01,5.0,102.03957375450925
2000-06-02,5.0,102.05321446769875
2000-06-03,5.0,102.0668570043872
2000-06-04,5.0,102.08050136481836
2000-06-05,5.0,102.09414754923607
2000-06-06,5.0,102.10779555788412
2000-06-07,5.0,102.1214453910064
2000-06-08,5.0,102.13509704884677
2000-06-09,5.0,102.1487505316492
2000-06-10,5.0,102.16240583965765
2000-06-11,5.0,102.17606297311607
2000-06-12,5.0,102.18972193226857
2000-06-13,5.0,102.20338271735912
2000-06-14,5.0,102.21704532863185
2000-06-15,5.0,102.23070976633089
2000-06-16,5.0,102.24437603070041
2000-06-17,5.0,102.25804412198455
2000-06-18,5.0,102.27171404042761
2000-06-19,5.0,102.28538578627378
2000-06-20,5.0,102.29905935976737
2000-06-21,5.0,102.31273476115273
2000-06-22,5.0,102.32641199067413
2000-06-23,5.0,102.34009104857607
2000-06-24,5.0,102.35377193510288
2000-06-25,5.0,102.36745465049906
2000-06-26,5.0,102.38113919500907
2000-06-27,5.0,102.39482556887745
2000-06-28,5.0,102.4085137723487
2000-06-29,5.0,102.42220380566746
2000-06-30,5.0,102.43589566907832
2000-07-01,5.0,102.44958936282593
2000-07-02,5.0,102.46328488715497
2000-07-03,5.0,102.47698224231017
2000-07-04,5.0,102.49068142853623
2000-07-05,5.0,102.50438244607798
2000-07-06,5.0,102.5180852951802
2000-07-07,5.0,102.53178997608777
2000-07-08,5.0,102.54549648904549
2000-07-09,5.0,102.55920483429837
2000-07-10,5.0,102.57291501209127
2000-07-11,5.0,102.5866270226692
2000-07-12,5.0,102.60034086627718
2000-07-13,5.0,102.61405654316025
2000-07-14,5.0,102.62777405356344
2000-07-15,5.0,102.64149339773189
2000-07-16,5.0,102.65521457591076
2000-07-17,5.0,102.66893758834519
2000-07-18,5.0,102.68266243528036
2000-07-19,5.0,102.69638911696157
2000-07-20,5.0,102.71011763363404
2000-07-21,5.0,102.7238479855431
2000-07-22,5.0,102.73758017293409
2000-07-23,5.0,102.75131419605235
2000-07-24,5.0,102.76505005514329
2000-07-25,5.0,102.77878775045235
2000-07-26,5.0,102.79252728222501
2000-07-27,5.0,102.80626865070674
2000-07-28,5.0,102.82001185614308
2000-07-29,5.0,102.83375689877965
2000-07-30,5.0,102.84750377886196
2000-07-31,5.0,102.86125249663569
2000-08-01,5.0,102.87500305234651
2000-08-02,5.0,102.8887554462401
2000-08-03,5.0,102.90250967856218
2000-08-04,5.0,102.91626574955852
2000-08-05,5.0,102.93002365947494
2000-08-06,5.0,102.94378340855725
2000-08-07,5.0,102.9575449970513
2000-08-08,5.0,102.97130842520299
2000-08-09,5.0,102.98507369325824
2000-08-10,5.0,102.99884080146302
2000-08-11,5.0,103.01260975006335
2000-08-12,5.0,103.0263805393052
2000-08-13,5.0,103.04015316943465
2000-08-14,5.0,103.05392764069781
2000-08-15,5.0,103.06770395334077
2000-08-16,5.0,103.08148210760973
2000-08-17,5.0,103.09526210375084
2000-08-18,5.0,103.10904394201035
2000-08-19,5.0,103.12282762263449
2000-08-20,5.0,103.13661314586957
2000-08-21,5.0,103.15040051196189
2000-08-22,5.0,103.16418972115784
2000-08-23,5.0,103.17798077370377
2000-08-24,5.0,103.19177366984611
2000-08-25,5.0,103.20556840983133
2000-08-26,5.0,103.2193649939059
2000-08-27,5.0,103.23316342231634
2000-08-28,5.0,103.24696369530922
2000-08-29,5.0,103.26076581313109
2000-08-30,5.0,103.27456977602859
2000-08-31,5.0,103.28837558424837
2000-09-01,5.0,103.30218323803713
2000-09-02,5.0,103.31599273764154
2000-09-03,5.0,103.3298040833084
2000-09-04,5.0,103.34361727528447
2000-09-05,5.0,103.35743231381656
2000-09-06,5.0,103.37124919915152
2000-09-07,5.0,103.38506793153626
2000-09-08,5.0,103.39888851121766
2000-09-09,5.0,103.41271093844269
2000-09-10,5.0,103.42653521345831
2000-09-11,5.0,103.44036133651156
2000-09-12,5.0,103.45418930784946
2000-09-13,5.0,103.4680191277191
2000-09-14,5.0,103.48185079636761
2000-09-15,5.0,103.49568431404211
2000-09-16,5.0,103.50951968098978
2000-09-17,5.0,103.52335689745784
2000-09-18,5.0,103.53719596369355
2000-09-19,5.0,103.55103687994418
2000-09-20,5.0,103.56487964645702
2000-09-21,5.0,103.57872426347944
2000-09-22,5.0,103.5925707312588
2000-09-23,5.0,103.60641905004253
2000-09-24,5.0,103.62026922007806
2000-09-25,5.0,103.63412124161285
2000-09-26,5.0,103.64797511489444
2000-09-27,5.0,103.66183084017035
2000-09-28,5.0,103.67568841768818
2000-09-29,5.0,103.68954784769551
2000-09-30,5.0,103.70340913044001
2000-10-01,5.0,103.71727226616933
2000-10-02,5.0,103.73113725513119
2000-10-03,5.0,103.74500409757334
2000-10-04,5.0,103.75887279374354
2000-10-05,5.25,103.77341946742365
2000-10-06,5.25,103.78796818050249
2000-10-07,5.25,103.802518933266
2000-10-08,5.25,103.81707172600012
2000-10-09,5.25,103.83162655899088
2000-10-10,5.25,103.84618343252427
2000-10-11,5.25,103.86074234688643
2000-10-12,5.25,103.8753033023634
2000-10-13,5.25,103.88986629924142
2000-10-14,5.25,103.90443133780663
2000-10-15,5.25,103.91899841834528
2000-10-16,5.25,103.93356754114367
2000-10-17,5.25,103.94813870648811
2000-10-18,5.25,103.96271191466494
2000-10-19,5.25,103.97728716596058
2000-10-20,5.25,103.99186446066145
2000-10-21,5.25,104.00644379905404
2000-10-22,5.25,104.02102518142486
2000-10-23,5.25,104.0356086080605
2000-10-24,5.25,104.05019407924753
2000-10-25,5.25,104.06478159527259
2000-10-26,5.25,104.07937115642238
2000-10-27,5.25,104.0939627629836
2000-10-28,5.25,104.10855641524302
2000-10-29,5.25,104.12315211348744
2000-10-30,5.25,104.1377498580037
2000-10-31,5.25,104.15234964907867
2000-11-01,5.25,104.16695148699931
2000-11-02,5.25,104.18155537205251
2000-11-03,5.25,104.19616130452536
2000-11-04,5.25,104.21076928470482
2000-11-05,5.25,104.22537931287803
2000-11-06,5.25,104.23999138933209
2000-11-07,5.25,104.25460551435415
2000-11-08,5.25,104.26922168823143
2000-11-09,5.25,104.28383991125119
2000-11-10,5.25,104.29846018370068
2000-11-11,5.25,104.31308250586724
2000-11-12,5.25,104.32770687803821
2000-11-13,5.25,104.34233330050104
2000-11-14,5.25,104.35696177354315
2000-11-15,5.25,104.37159229745201
2000-11-16,5.25,104.38622487251517
2000-11-17,5.25,104.40085949902019
2000-11-18,5.25,104.41549617725465
2000-11-19,5.25,104.43013490750623
2000-11-20,5.25,104.44477569006263
2000-11-21,5.25,104.45941852521152
2000-11-22,5.25,104.4740634132407
2000-11-23,5.25,104.48871035443798
2000-11-24,5.25,104.50335934909121
2000-11-25,5.25,104.51801039748827
2000-11-26,5.25,104.53266349991708
2000-11-27,5.25,104.54731865666562
2000-11-28,5.25,104.56197586802192
2000-11-29,5.25,104.57663513427397
2000-11-30,5.25,104.59129645570992
2000-12-01,5.25,104.60595983261788
2000-12-02,5.25,104.62062526528601
2000-12-03,5.25,104.63529275400256
2000-12-04,5.25,104.64996229905572
2000-12-05,5.25,104.66463390073382
2000-12-06,5.25,104.6793075593252
2000-12-07,5.25,104.69398327511821
2000-12-08,5.25,104.70866104840127
2000-12-09,5.25,104.72334087946284
2000-12-10,5.25,104.7380227685914
2000-12-11,5.25,104.75270671607551
2000-12-12,5.25,104.76739272220372
2000-12-13,5.25,104.78208078726468
2000-12-14,5.25,104.796770911547
2000-12-15,5.25,104.81146309533939
2000-12-16,5.25,104.82615733893061
2000-12-17,5.25,104.84085364260942
2000-12-18,5.25,104.85555200666464
2000-12-19,5.25,104.87025243138513
2000-12-20,5.25,104.88495491705979
2000-12-21,5.25,104.89965946397754
2000-12-22,5.25,104.91436607242741
2000-12-23,5.25,104.92907474269838
2000-12-24,5.25,104.9437854750795
2000-12-25,5.25,104.9584982698599
2000-12-26,5.25,104.97321312732872
2000-12-27,5.25,104.98793004777511
2000-12-28,5.25,105.00264903148835
2000-12-29,5.25,105.01737007875766
2000-12-30,5.25,105.03209318987234
2000-12-31,5.25,105.04681836512178
2001-01-01,5.25,105.06154560479533
2001-01-02,5.25,105.07627490918239
2001-01-03,5.25,105.09100627857248
2001-01-04,5.25,105.1057397132551
2001-01-05,5.25,105.12047521351977
2001-01-06,5.25,105.13521277965607
2001-01-07,5.25,105.14995241195368
2001-01-08,5.25,105.16469411070224
2001-01-09,5.25,105.17943787619144
2001-01-10,5.25,105.19418370871105
2001-01-11,5.25,105.20893160855087
2001-01-12,5.25,105.22368157600073
2001-01-13,5.25,105.2384336113505
2001-01-14,5.25,105.25318771489007
2001-01-15,5.25,105.26794388690944
2001-01-16,5.25,105.28270212769854
2001-01-17,5.25,105.29746243754745
2001-01-18,5.25,105.31222481674627
2001-01-19,5.25,105.32698926558506
2001-01-20,5.25,105.341755784354
2001-01-21,5.25,105.3565243733433
2001-01-22,5.25,105.3712950328432
2001-01-23,5.25,105.38606776314394
2001-01-24,5.25,105.40084256453588
2001-01-25,5.25,105.41561943730935
2001-01-26,5.25,105.43039838175478
2001-01-27,5.25,105.44517939816262
2001-01-28,5.25,105.45996248682331
2001-01-29,5.25,105.47474764802742
2001-01-30,5.25,105.48953488206547
2001-01-31,5.25,105.5043241892281
2001-02-01,5.25,105.51911556980596
2001-02-02,5.25,105.53390902408968
2001-02-03,5.25,105.54870455237004
2001-02-04,5.25,105.56350215493782
2001-02-05,5.25,105.57830183208377
2001-02-06,5.25,105.59310358409877
2001-02-07,5.25,105.60790741127373
2001-02-08,5.0,105.62202514150853
2001-02-09,5.0,105.63614475901022
2001-02-10,5.0,105.65026626403109
2001-02-11,5.0,105.66438965682346
2001-02-12,5.0,105.67851493763969
2001-02-13,5.0,105.6926421067322
2001-02-14,5.0,105.70677116435337
2001-02-15,5.0,105.72090211075569
2001-02-16,5.0,105.73503494619165
2001-02-17,5.0,105.74916967091377
2001-02-18,5.0,105.76330628517461
2001-02-19,5.0,105.77744478922678
2001-02-20,5.0,105.79158518332288
2001-02-21,5.0,105.8057274677156
2001-02-22,5.0,105.8198716426576
2001-02-23,5.0,105.83401770840166
2001-02-24,5.0,105.84816566520053
2001-02-25,5.0,105.86231551330695
2001-02-26,5.0,105.87646725297384
2001-02-27,5.0,105.890620884454
2001-02-28,5.0,105.90477640800037
2001-03-01,5.0,105.91893382386586
2001-03-02,5.0,105.93309313230341
2001-03-03,5.0,105.9472543335661
2001-03-04,5.0,105.96141742790688
2001-03-05,5.0,105.97558241557886
2001-03-06,5.0,105.98974929683511
2001-03-07,5.0,106.00391807192881
2001-03-08,5.0,106.01808874111312
2001-03-09,5.0,106.03226130464121
2001-03-10,5.0,106.04643576276635
2001-03-11,5.0,106.0606121157418
2001-03-12,5.0,106.07479036382085
2001-03-13,5.0,106.08897050725687
2001-03-14,5.0,106.10315254630322
2001-03-15,5.0,106.11733648121329
2001-03-16,5.0,106.13152231224052
2001-03-17,5.0,106.14571003963842
2001-03-18,5.0,106.15989966366047
2001-03-19,5.0,106.17409118456021
2001-03-20,5.0,106.1882846025912
2001-03-21,5.0,106.20247991800711
2001-03-22,5.0,106.21667713106152
2001-03-23,5.0,106.23087624200814
2001-03-24,5.0,106.24507725110067
2001-03-25,5.0,106.25928015859287
2001-03-26,5.0,106.2734849647385
2001-03-27,5.0,106.28769166979137
2001-03-28,5.0,106.30190027400535
2001-03-29,5.0,106.31611077763432
2001-03-30,5.0,106.33032318093217
2001-03-31,5.0,106.34453748415287
2001-04-01,5.0,106.35875368755039
2001-04-02,5.0,106.37297179137877
2001-04-03,5.0,106.38719179589202
2001-04-04,5.0,106.40141370134427
2001-04-05,5.0,106.41563750798959
2001-04-06,5.0,106.42986321608218
2001-04-07,5.0,106.4440908258762
2001-04-08,5.0,106.4583203376259
2001-04-09,5.0,106.4725517515855
2001-04-10,5.0,106.48678506800928
2001-04-11,5.0,106.5010202871516
2001-04-12,5.0,106.5152574092668
2001-04-13,5.0,106.52949643460927
2001-04-14,5.0,106.54373736343344
2001-04-15,5.0,106.55798019599374
2001-04-16,5.0,106.5722249325447
2001-04-17,5.0,106.58647157334084
2001-04-18,5.0,106.6007201186367
2001-04-19,5.0,106.6149705686869
2001-04-20,5.0,106.62922292374606
2001-04-21,5.0,106.64347718406884
2001-04-22,5.0,106.6577333499099
2001-04-23,5.0,106.67199142152405
2001-04-24,5.0,106.68625139916601
2001-04-25,5.0,106.70051328309056
2001-04-26,5.0,106.71477707355257
2001-04-27,5.0,106.72904277080688
2001-04-28,5.0,106.74331037510841
2001-04-29,5.0,106.75757988671208
2001-04-30,5.0,106.77185130587287
2001-05-01,5.0,106.7861246328458
2001-05-02,5.0,106.80039986788586
2001-05-03,5.0,106.81467701124816
2001-05-04,5.0,106.8289560631878
2001-05-05,5.0,106.8432370239599
2001-05-06,5.0,106.85751989381967
2001-05-07,5.0,106.87180467302228
2001-05-08,5.0,106.886091361823
2001-05-09,5.0,106.9003799604771
2001-05-10,5.0,106.91467046923988
2001-05-11,5.0,106.92896288836668
2001-05-12,5.0,106.9432572181129
2001-05-13,5.0,106.95755345873394
2001-05-14,5.0,106.97185161048523
2001-05-15,5.0,106.98615167362232
2001-05-16,5.0,107.00045364840062
2001-05-17,5.0,107.01475753507577
2001-05-18,5.0,107.0290633339033
2001-05-19,5.0,107.04337104513884
2001-05-20,5.0,107.05768066903806
2001-05-21,5.0,107.07199220585663
2001-05-22,5.0,107.08630565585027
2001-05-23,5.0,107.10062101927475
2001-05-24,5.0,107.11493829638583
2001-05-25,5.0,107.12925748743936
2001-05-26,5.0,107.14357859269118
2001-05-27,5.0,107.1579016123972
2001-05-28,5.0,107.17222654681333
2001-05-29,5.0,107.18655339619554
2001-05-30,5.0,107.2008821607998
2001-05-31,5.0,107.21521284088216
2001-06-01,5.0,107.22954543669867
2001-06-02,5.0,107.24387994850544
2001-06-03,5.0,107.2582163765586
2001-06-04,5.0,107.2725547211143
2001-06-05,5.0,107.28689498242876
2001-06-06,5.0,107.30123716075819
2001-06-07,5.0,107.31558125635887
2001-06-08,5.0,107.32992726948711
2001-06-09,5.0,107.34427520039924
2001-06-10,5.0,107.35862504935163
2001-06-11,5.0,107.37297681660067
2001-06-12,5.0,107.38733050240283
2001-06-13,5.0,107.40168610701456
2001-06-14,5.0,107.41604363069234
2001-06-15,5.0,107.4304030736928
2001-06-16,5.0,107.44476443627242
2001-06-17,5.0,107.45912771868788
2001-06-18,5.0,107.47349292119578
2001-06-19,5.0,107.48786004405282
2001-06-20,5.0,107.50222908751572
2001-06-21,5.0,107.51660005184121
2001-06-22,5.0,107.53097293728608
2001-06-23,5.0,107.54534774410713
2001-06-24,5.0,107.55972447256126
2001-06-25,5.0,107.5741031229053
2001-06-26,5.0,107.58848369539619
2001-06-27,5.0,107.6028661902909
2001-06-28,5.0,107.61725060784639
2001-06-29,5.0,107.6316369483197
2001-06-30,5.0,107.64602521196787
2001-07-01,5.0,107.66041539904802
2001-07-02,5.0,107.67480750981726
2001-07-03,5.0,107.68920154453274
2001-07-04,5.0,107.70359750345166
2001-07-05,4.75,107.71729188987862
2001-07-06,4.75,107.73098801753078
2001-07-07,4.75,107.74468588662955
2001-07-08,4.75,107.75838549739638
2001-07-09,4.75,107.77208685005266
2001-07-10,4.75,107.78578994481991
2001-07-11,4.75,107.79949478191963
2001-07-12,4.75,107.81320136157338
2001-07-13,4.75,107.82690968400266
2001-07-14,4.75,107.84061974942914
2001-07-15,4.75,107.85433155807436
2001-07-16,4.75,107.86804511016004
2001-07-17,4.75,107.8817604059078
2001-07-18,4.75,107.89547744553938
2001-07-19,4.75,107.9091962292765
2001-07-20,4.75,107.92291675734094
2001-07-21,4.75,107.93663902995445
2001-07-22,4.75,107.95036304733887
2001-07-23,4.75,107.96408880971606
2001-07-24,4.75,107.97781631730787
2001-07-25,4.75,107.99154557033623
2001-07-26,4.75,108.00527656902304
2001-07-27,4.75,108.01900931359026
2001-07-28,4.75,108.0327438042599
2001-07-29,4.75,108.04648004125394
2001-07-30,4.75,108.06021802479447
2001-07-31,4.75,108.07395775510354
2001-08-01,4.75,108.08769923240322
2001-08-02,4.75,108.10144245691566
2001-08-03,4.75,108.11518742886305
2001-08-04,4.75,108.12893414846752
2001-08-05,4.75,108.14268261595133
2001-08-06,4.75,108.15643283153666
2001-08-07,4.75,108.17018479544585
2001-08-08,4.75,108.18393850790116
2001-08-09,4.5,108.19698565082379
2001-08-10,4.5,108.21003436725117
2001-08-11,4.5,108.22308465737302
2001-08-12,4.5,108.23613652137915
2001-08-13,4.5,108.2491899594594
2001-08-14,4.5,108.26224497180357
2001-08-15,4.5,108.27530155860153
2001-08-16,4.5,108.28835972004313
2001-08-17,4.5,108.30141945631834
2001-08-18,4.5,108.31448076761706
2001-08-19,4.5,108.3275436541292
2001-08-20,4.5,108.34060811604478
2001-08-21,4.5,108.3536741535538
2001-08-22,4.5,108.36674176684622
2001-08-23,4.5,108.37981095611215
2001-08-24,4.5,108.39288172154163
2001-08-25,4.5,108.40595406332474
2001-08-26,4.5,108.4190279816516
2001-08-27,4.5,108.43210347671233
2001-08-28,4.5,108.44518054869707
2001-08-29,4.5,108.45825919779605
2001-08-30,4.5,108.47133942419947
2001-08-31,4.5,108.48442122809749
2001-09-01,4.5,108.49750460968042
2001-09-02,4.5,108.51058956913853
2001-09-03,4.5,108.52367610666207
2001-09-04,4.5,108.53676422244138
2001-09-05,4.5,108.5498539166668
2001-09-06,4.5,108.56294518952872
2001-09-07,4.5,108.57603804121749
2001-09-08,4.5,108.58913247192352
2001-09-09,4.5,108.60222848183724
2001-09-10,4.5,108.61532607114917
2001-09-11,4.5,108.62842524004968
2001-09-12,4.5,108.64152598872936
2001-09-13,4.5,108.65462831737867
2001-09-14,4.5,108.66773222618819
2001-09-15,4.5,108.68083771534852
2001-09-16,4.5,108.69394478505019
2001-09-17,4.5,108.70705343548383
2001-09-18,4.5,108.72016366684012
2001-09-19,4.0,108.73184671192979
2001-09-20,4.0,108.74353101247694
2001-09-21,4.0,108.75521656861649
2001-09-22,4.0,108.76690338048336
2001-09-23,4.0,108.77859144821247
2001-09-24,4.0,108.7902807719388
2001-09-25,4.0,108.8019713517973
2001-09-26,4.0,108.81366318792296
2001-09-27,4.0,108.8253562804508
2001-09-28,4.0,108.8370506295158
2001-09-29,4.0,108.84874623525303
2001-09-30,4.0,108.86044309779747
2001-10-01,4.0,108.87214121728421
2001-10-02,4.0,108.88384059384835
2001-10-03,4.0,108.8955412276249
2001-10-04,4.0,108.90724311874904
2001-10-05,4.0,108.91894626735584
2001-10-06,4.0,108.93065067358043
2001-10-07,4.0,108.94235633755798
2001-10-08,4.0,108.95406325942363
2001-10-09,4.0,108.96577143931255
2001-10-10,4.0,108.9774808773599
2001-10-11,4.0,108.98919157370092
2001-10-12,4.0,109.00090352847084
2001-10-13,4.0,109.01261674180485
2001-10-14,4.0,109.02433121383821
2001-10-15,4.0,109.03604694470619
2001-10-16,4.0,109.04776393454405
2001-10-17,4.0,109.05948218348709
2001-10-18,4.0,109.07120169167061
2001-10-19,4.0,109.08292245922992
2001-10-20,4.0,109.09464448630035
2001-10-21,4.0,109.10636777301725
2001-10-22,4.0,109.11809231951601
2001-10-23,4.0,109.12981812593196
2001-10-24,4.0,109.14154519240051
2001-10-25,4.0,109.15327351905708
2001-10-26,4.0,109.16500310603708
2001-10-27,4.0,109.17673395347592
2001-10-28,4.0,109.18846606150908
2001-10-29,4.0,109.20019943027202
2001-10-30,4.0,109.2119340599002
2001-10-31,4.0,109.2236699505291
2001-11-01,4.0,109.23540710229429
2001-11-02,4.0,109.24714551533121
2001-11-03,4.0,109.25888518977547
2001-11-04,4.0,109.27062612576258
2001-11-05,4.0,109.2823683234281
2001-11-06,4.0,109.29411178290762
2001-11-07,4.0,109.30585650433675
2001-11-08,4.0,109.31760248785108
2001-11-09,4.0,109.32934973358624
2001-11-10,4.0,109.34109824167786
2001-11-11,4.0,109.35284801226162
2001-11-12,4.0,109.36459904547313
2001-11-13,4.0,109.37635134144811
2001-11-14,4.0,109.38810490032229
2001-11-15,4.0,109.39985972223131
2001-11-16,4.0,109.41161580731095
2001-11-17,4.0,109.42337315569692
2001-11-18,4.0,109.435131767525
2001-11-19,4.0,109.44689164293094
2001-11-20,4.0,109.4586527820505
2001-11-21,4.0,109.47041518501955
2001-11-22,4.0,109.48217885197383
2001-11-23,4.0,109.49394378304919
2001-11-24,4.0,109.50570997838149
2001-11-25,4.0,109.51747743810658
2001-11-26,4.0,109.52924616236032
2001-11-27,4.0,109.54101615127863
2001-11-28,4.0,109.55278740499735
2001-11-29,4.0,109.56455992365244
2001-11-30,4.0,109.57633370737983
2001-12-01,4.0,109.58810875631542
2001-12-02,4.0,109.59988507059523
2001-12-03,4.0,109.6116626503552
2001-12-04,4.0,109.62344149573133
2001-12-05,4.0,109.63522160685962
2001-12-06,4.0,109.64700298387606
2001-12-07,4.0,109.65878562691671
2001-12-08,4.0,109.67056953611763
2001-12-09,4.0,109.68235471161485
2001-12-10,4.0,109.69414115354448
2001-12-11,4.0,109.70592886204258
2001-12-12,4.0,109.71771783724525
2001-12-13,4.0,109.72950807928865
2001-12-14,4.0,109.74129958830888
2001-12-15,4.0,109.75309236444208
2001-12-16,4.0,109.76488640782446
2001-12-17,4.0,109.77668171859216
2001-12-18,4.0,109.78847829688138
2001-12-19,4.0,109.80027614282835
2001-12-20,4.0,109.81207525656926
2001-12-21,4.0,109.82387563824037
2001-12-22,4.0,109.8356772879779
2001-12-23,4.0,109.84748020591815
2001-12-24,4.0,109.85928439219741
2001-12-25,4.0,109.87108984695193
2001-12-26,4.0,109.88289657031804
2001-12-27,4.0,109.89470456243208
2001-12-28,4.0,109.9065138234304
2001-12-29,4.0,109.91832435344931
2001-12-30,4.0,109.9301361526252
2001-12-31,4.0,109.94194922109446
2002-01-01,4.0,109.95376355899347
2002-01-02,4.0,109.96557916645867
2002-01-03,4.0,109.97739604362647
2002-01-04,4.0,109.98921419063332
2002-01-05,4.0,110.00103360761567
